run_id,model,context_len,bandwidth_mbps,repeat,state_bytes,t_transfer_ms,transfer_mbps,ok,output_dir
boundary_20260526_082514,3B,16384,100,1,150994944,12693.416357040405,95.16425822824327,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/3B
boundary_20260526_082514,3B,16384,100,2,150994944,12698.651552200317,95.12502544340582,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/3B
boundary_20260526_082514,8B,128,1000,1,1441792,121.03462219238281,95.29782297883607,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,128,1000,2,1441792,113.73138427734375,101.41735347098678,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,256,1000,1,2883584,141.5252685546875,163.00037608539083,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,256,1000,2,2883584,128.61895561218262,179.356704384676,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,512,1000,1,5767168,155.66277503967285,296.3929172420397,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,512,1000,2,5767168,165.03262519836426,279.5649887078043,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,1024,1000,1,11534336,215.33989906311035,428.50715729627404,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,1024,1000,2,11534336,207.7350616455078,444.1940964085463,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,2048,1000,1,23068672,300.34351348876953,614.4610011925585,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,2048,1000,2,23068672,288.9828681945801,638.6170126726607,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,4096,1000,1,46137344,504.44960594177246,731.6860745899844,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,4096,1000,2,46137344,485.5918884277344,760.1007364333869,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,8192,1000,1,92274688,864.6323680877686,853.7703783084208,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,8192,1000,2,92274688,881.5877437591553,837.3500076716939,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,16384,1000,1,184549376,1648.6709117889404,895.5061907400263,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,16384,1000,2,184549376,1643.3830261230469,898.3876458082975,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
boundary_20260526_082514,8B,128,100,1,1441792,192.13104248046875,60.03369289568359,True,/home/cc/yhbian/B01/edgevisor_boundary_results/boundary_20260526_082514/transfer_microbench/8B
