model,variant,event_index,stage,trigger_pos,trigger_layer,from_node,to_node,bind_kind,bind_bytes_or_ops,t_bind_ms,t_cmd_ack_ms,t_cmd_to_apply_ms,t_total_controlled_ms,apply_seen,apply_line,node4_work_line,root_exit,post_recovery_tokens_s,avg_pred_ms_after_apply,output_dir
3B,with_pointer_swizzling,1,1,12,11,4,3,pointer_swizzling,896,0.0016689300537109375,52.138566970825195,6019.77801322937,6071.916580200195,True,b01ab_pc_20260526_031039_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=1 layer=11 pos=12 kind=head headMove=1 ffnMove=0 from=4 to=3 (gqaGroup=3),📊 [plan][work] node=4 stage=1 epoch=1 layer=11 pos=12 kvHeads=2 qHeads=6 ffnDim=2720 reason=legacy,0,0.5077688636132832,1969.4,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031039/pointer_swizzling_controlled/3B/with_pointer_swizzling
3B,with_pointer_swizzling,2,1,24,11,4,5,pointer_swizzling,896,0.00095367431640625,51.810503005981445,6031.633138656616,6083.443641662598,True,b01ab_pc_20260526_031039_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=2 layer=11 pos=24 kind=head headMove=1 ffnMove=0 from=4 to=5 (gqaGroup=3),📊 [plan][work] node=4 stage=1 epoch=2 layer=11 pos=24 kvHeads=1 qHeads=3 ffnDim=2720 reason=legacy,0,0.5077688636132832,1969.4,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031039/pointer_swizzling_controlled/3B/with_pointer_swizzling
3B,with_pointer_swizzling,3,1,36,11,4,3,pointer_swizzling,896,0.0011920928955078125,52.14810371398926,5658.898115158081,5711.04621887207,True,b01ab_pc_20260526_031039_pointer_swizzling_contr_n3: 🧭 [plan][apply] node=3 stage=1 epoch=3 layer=11 pos=36 kind=head headMove=1 ffnMove=0 from=4 to=3 (gqaGroup=3),📊 [plan][work] node=4 stage=1 epoch=3 layer=11 pos=36 kvHeads=0 qHeads=0 ffnDim=2720 reason=legacy,0,0.5077688636132832,1969.4,/home/cc/yhbian/B01/ptr_ctrl/pc_20260526_031039/pointer_swizzling_controlled/3B/with_pointer_swizzling
