baseline,candidate,baseline_wall_ms,candidate_wall_ms,candidate_minus_baseline_wall_ms,baseline_tokens_s,candidate_tokens_s,candidate_vs_baseline_tokens_s_delta_pct,verdict
vg_332_all8,pp_8stage_all8,20644.928,24950.054,4305.127,0.38632,0.23302,-39.683,VG_better
vg_332_all8,pp_3stage_strong,20644.928,24681.011,4036.083,0.38632,0.23302,-39.683,VG_better
